流水號,類別名稱,描述,,
1,(一) 防腐劑,"1. 罐頭一律禁止使用防腐劑，但因原料加工或製造技術關係，必須加入防腐劑者，應事先申請中央衛生主管機關核准後，始得使用。


2. 同一食品依表列使用範圍規定混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1。

3. 本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。



本表所稱之食品名稱定義：
1.「煮熟豆」係指經煮熟調味之豆類，包括豆餡。
2.「海藻醬類」係指以海藻或海苔為原料製成供佐餐用之醬菜。
3.「濃糖果漿」係指由天然果汁或乾果中抽取50％以上，添加入濃厚糖漿中,其總糖度應在50°Brix 以上，可供稀釋飲用者。
4.「含果汁之碳酸飲料」係指含5％以上天然果汁之碳酸飲料。
5.「罐頭食品」係指在製造過程中，經過脫氣、密封、殺菌等步驟而能防止外界微生物之再污染且可達到保存目的之食品。
6. 本表為正面表列，非表列之食品品項，不得使用該食品添加物。",,
2,(二) 殺菌劑,本表為正面表列，非表列之食品品項，不得使用該食品添加物。,,
3,(三) 抗氧化劑,"1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。

2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

3.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
4,(四) 漂白劑,"1.本表所稱「脫水水果」，包括以糖、鹽或其他調味料醃漬、脫水、乾燥或熬煮等加工方法製成之水果加工品。


2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。",,
5,(五) 保色劑,本表為正面表列，非表列之食品品項，不得使用該食品添加物。,,
6,(六) 膨脹劑,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
7,(七) 品質改良用、釀造用及食品製造用劑,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.除「編號099氮氣」外，可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
8,(八) 營養添加劑,"1.特殊營養食品應先經中央衛生主管機關審核認可。2.特殊營養食品中所使用之營養添加劑，其種類、使用範圍及用量標準得不受表列規定之限制。3.維生素D2 及 D3 混合使用時，每一種之使用量除以其用量標準所得之數值（即使用量／用量標準）總和不得大於1 。4.前述適用三歲以下幼兒之奶粉如同時使用編號124 至編號128 等五類核甘酸鹽，其每100 大卡產品中使用量之總和不得超過5 mg。5.本表為正面表列，非表列之食品品項，不得使用該食品添加物。6.業者製售添加前述維生素A、D、E、B1、B2、B6、B12、C、菸鹼素及葉酸等十種維生素，而型態屬膠囊狀、錠狀且標示有每日食用限量之食品，應於產品包裝上標示明確的攝取量限制及「多食無益」等類似意義之詞句。
7.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。強化營養鮮乳得添加生乳中所含之營養素。",,
9,(九) 著色劑,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
10,(十) 香料,"1. 編號098天然香料係由未經處理或經傳統食品加工製程處理之動、植物原料，以物理(包括但不限於蒸餾或溶劑萃取處理)、酵素或微生物方式，所取得之香料物質，包括針對特定物質純化者及未針對特定物質純化者。

2. 編號079酮類及編號098天然香料之准用品項未包含胡薄荷酮(Pulegone)。

3.下列物質除奎寧外，不得純化使用，其來自天然來源者，使用於飲料時，應符合下列限量標準：
(1)	松蕈酸(Agaric acid)：20 mg/kg。
(2)	蘆薈素(Aloin)：0.10 mg/kg。
(3)	β- 杜衡精(β- Asarone)：0.10 mg/kg。
(4)	小檗鹼(Berberine)：0.10 mg/kg。
(5)	香豆素(Coumarin)：2.0 mg/kg。
(6)	總氫氰酸(Total Hydrocyanic Acid)：1.0 mg/kg。
(7)	海棠素(Hypericine)：0.10 mg/kg。
(8)	胡薄荷酮(Pulegone)：100 mg/kg。
(9)	苦木素(Quassine)：5 mg/kg。
(10)	奎寧(Quinine)：85 mg/kg。
(11)	黃樟素(Safrole)：1.0 mg/kg。
(12)	山道年(Santonin)：0.10 mg/kg。
(13)	 艸守酮（α與β） (Thujones，α and β)：0.5 mg/kg。

4.飲料添加095含氮雜環類之奎寧時，其奎寧限量為85 mg/kg；飲料同時添加095含氮雜環類之奎寧，及098天然香料帶入奎寧者，其奎寧總限量為85 mg/kg。

5.不得使用苯乙烯(Styrene)、丁香油酚甲醚(Eugenyl methyl ether)、及吡啶(Pyridine)三項合成香料物質。

6.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
11,(十一) 調味劑,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
12,(十二) 粘稠劑（糊料）,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
13,(十三) 結著劑,本表為正面表列，非表列之食品品項，不得使用該食品添加物。,,
14,(十四) 食品工業用化學藥品,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
15,(十五) 載體,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
16,(十六) 乳化劑,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
17,(十七) 其他,"1.本表為正面表列，非表列之食品品項，不得使用該食品添加物。

2.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
19,(十一之一) 甜味劑,"1. 本表為正面表列，非表列之食品品項，不得使用該
食品添加物。
2. 同一食品依表列使用範圍規定混合使用甜味劑時，每一種
甜味劑之使用量除以其用量標準所得之數值（即使用量／用
量標準）總和不得大於1。

3.可於各類食品中使用之各類食品範圍，不包括鮮乳及保久乳。",,
